scale,date,home_team,away_team,match_index,outcome,probability,decimal_odds,full_kelly_fraction,scaled_fraction,stake,won,profit,bankroll_before_match
0.05,2026-06-28,South Africa,Canada,1,away,0.583185613155365,1.8,0.062167629599571284,0.003108381479978564,0.3108381479978564,True,0.24867051839828513,100.0
0.05,2026-06-29,Brazil,Japan,2,away,0.29126137495040894,5.0,0.11407671868801117,0.005703835934400559,0.5718019692787221,False,-0.5718019692787221,100.24867051839828
0.05,2026-06-29,Germany,Paraguay,3,draw,0.2099262923002243,5.0,0.01240786537528038,0.0006203932687640191,0.06183885829934973,True,0.24735543319739892,99.67686854911956
0.05,2026-06-29,Germany,Paraguay,3,away,0.18991191685199738,10.0,0.09990212983555263,0.004995106491777632,0.49789657316977276,False,-0.49789657316977276,99.67686854911956
0.05,2026-06-29,Netherlands,Morocco,4,home,0.3804740905761719,19.0,0.3460559844970703,0.017302799224853515,1.7203537808250238,False,-1.7203537808250238,99.42632740914719
0.05,2026-06-29,Netherlands,Morocco,4,away,0.34435349702835083,21.0,0.31157117187976835,0.015578558593988419,1.5489188673284762,False,-1.5489188673284762,99.42632740914719
0.05,2026-06-30,France,Sweden,5,away,0.13851666450500488,11.0,0.052368330955505374,0.002618416547775269,0.2517792233715186,False,-0.2517792233715186,96.15705476099369
0.05,2026-06-30,Ivory Coast,Norway,6,away,0.5131056904792786,2.1,0.07047450000589543,0.0035237250002947717,0.3379438170720779,True,0.3717381987792857,95.90527553762217
0.05,2026-06-30,Mexico,Ecuador,7,away,0.33014968037605286,4.2,0.12082145549356937,0.006041072774678469,0.5816164465103199,False,-0.5816164465103199,96.27701373640146
0.05,2026-07-01,Belgium,Senegal,8,away,0.29568353295326233,4.0,0.06091137727101644,0.0030455688635508222,0.29144692237121816,False,-0.29144692237121816,95.69539728989113
0.05,2026-07-01,England,DR Congo,9,draw,0.2046309858560562,5.0,0.005788732320070267,0.00028943661600351335,0.027613396547742107,False,-0.027613396547742107,95.40395036751991
0.05,2026-07-01,England,DR Congo,9,away,0.1036149337887764,14.0,0.03466223638791304,0.001733111819395652,0.16534571399898493,False,-0.16534571399898493,95.40395036751991
0.05,2026-07-01,United States,Bosnia and Herzegovina,10,draw,0.18591991066932678,51.0,0.1696383088827133,0.008481915444135665,0.8075715771939866,False,-0.8075715771939866,95.21099125697319
0.05,2026-07-01,United States,Bosnia and Herzegovina,10,away,0.14806018769741058,501.0,0.1463563080728054,0.00731781540364027,0.6967364584161374,False,-0.6967364584161374,95.21099125697319
0.1,2026-06-28,South Africa,Canada,1,away,0.583185613155365,1.8,0.062167629599571284,0.006216762959957128,0.6216762959957128,True,0.49734103679657027,100.0
0.1,2026-06-29,Brazil,Japan,2,away,0.29126137495040894,5.0,0.11407671868801117,0.011407671868801117,1.1464406902347763,False,-1.1464406902347763,100.49734103679657
0.1,2026-06-29,Germany,Paraguay,3,draw,0.2099262923002243,5.0,0.01240786537528038,0.0012407865375280382,0.12327325964130356,True,0.49309303856521425,99.35090034656179
0.1,2026-06-29,Germany,Paraguay,3,away,0.18991191685199738,10.0,0.09990212983555263,0.009990212983555263,0.9925366545701266,False,-0.9925366545701266,99.35090034656179
0.1,2026-06-29,Netherlands,Morocco,4,home,0.3804740905761719,19.0,0.3460559844970703,0.03460559844970703,3.4208138177862404,False,-3.4208138177862404,98.85145673055688
0.1,2026-06-29,Netherlands,Morocco,4,away,0.34435349702835083,21.0,0.31157117187976835,0.031157117187976837,3.0799264215561823,False,-3.0799264215561823,98.85145673055688
0.1,2026-06-30,France,Sweden,5,away,0.13851666450500488,11.0,0.052368330955505374,0.005236833095550538,0.4836252885189967,False,-0.4836252885189967,92.35071649121446
