date,home_team,away_team,prob_draw,prob_home,prob_away,home_score,away_score,actual_result,odds_home,odds_draw,odds_away,status,result_source,odds_source,prediction_path
2026-06-17,England,Croatia,0.24610507488250732,0.5395227074623108,0.21437227725982666,4,2,home,1.62,3.75,5.5,ok,martj42/international_results,fotmob:4667825:Paddy Power_UK:https://www.fotmob.com/match/4667825,outputs/predictions/2026-06-16/2026-06-17_England_Croatia/predictions.json
2026-06-17,Ghana,Panama,0.2576129138469696,0.29278042912483215,0.4496065378189087,1,0,home,2.3,3.0,3.2,ok,martj42/international_results,fotmob:4667826:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667826,outputs/predictions/2026-06-16/2026-06-17_Ghana_Panama/predictions.json
2026-06-17,Portugal,DR Congo,0.19928725063800812,0.6823864579200745,0.11832595616579056,1,1,draw,1.29,5.25,11.0,ok,martj42/international_results,fotmob:4667819:Bet365_UK CPM:https://www.fotmob.com/match/4667819,outputs/predictions/2026-06-16/2026-06-17_Portugal_DR Congo/predictions.json
2026-06-17,Uzbekistan,Colombia,0.210953027009964,0.1271994560956955,0.6618475914001465,1,3,away,10.0,5.0,1.3,ok,martj42/international_results,fotmob:4667820:Paddy Power_UK:https://www.fotmob.com/match/4667820,outputs/predictions/2026-06-16/2026-06-17_Uzbekistan_Colombia/predictions.json
2026-06-18,Canada,Qatar,0.17691588401794434,0.7055132389068604,0.11757104098796844,6,0,home,1.25,6.0,12.0,ok,martj42/international_results,fotmob:4667760:Bet365_UK CPM:https://www.fotmob.com/match/4667760,outputs/predictions/2026-06-16/2026-06-18_Canada_Qatar/predictions.json
2026-06-18,Czech Republic,South Africa,0.2500992715358734,0.5112974047660828,0.23860323429107666,1,1,draw,1.87,3.4,4.33,ok,martj42/international_results,fotmob:4667753:Sky Bet_UK:https://www.fotmob.com/match/4667753,outputs/predictions/2026-06-16/2026-06-18_Czech Republic_South Africa/predictions.json
2026-06-18,Mexico,South Korea,0.2678479850292206,0.4468834698200226,0.2852683663368225,1,0,home,2.0,3.2,4.0,ok,martj42/international_results,fotmob:4667754:Sky Bet_UK:https://www.fotmob.com/match/4667754,outputs/predictions/2026-06-16/2026-06-18_Mexico_South Korea/predictions.json
2026-06-18,Switzerland,Bosnia and Herzegovina,0.17897266149520874,0.6940310597419739,0.12699638307094574,4,1,home,1.5,4.0,6.5,ok,martj42/international_results,fotmob:4667759:Paddy Power_UK:https://www.fotmob.com/match/4667759,outputs/predictions/2026-06-16/2026-06-18_Switzerland_Bosnia and Herzegovina/predictions.json
2026-06-19,Brazil,Haiti,0.1163063794374466,0.8219257593154907,0.06176772341132164,3,0,home,1.08,10.5,21.0,ok,martj42/international_results,fotmob:4667767:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667767,outputs/predictions/2026-06-16/2026-06-19_Brazil_Haiti/predictions.json
2026-06-19,Scotland,Morocco,0.26564404368400574,0.20014484226703644,0.5342110991477966,0,1,away,5.5,3.6,1.65,ok,martj42/international_results,fotmob:4667766:Paddy Power_UK:https://www.fotmob.com/match/4667766,outputs/predictions/2026-06-16/2026-06-19_Scotland_Morocco/predictions.json
