scale,starting_bankroll,final_bankroll,profit,total_staked,roi_on_staked,return_on_starting_bankroll,num_bets,completed_matches,matches_with_odds,matches_with_bets,max_drawdown
0.0,100.0,100.0,0.0,0.0,0.0,0.0,0,82,82,0,0.0
0.05,100.0,78.46764655425879,-21.532353445741208,39.69255681624293,-0.5424783680584099,-0.21532353445741204,110,82,82,77,0.24018583849682532
0.1,100.0,61.17991410974178,-38.82008589025822,73.06020972298937,-0.5313437510985257,-0.38820085890258216,110,82,82,77,0.4252527090566195
0.2,100.0,36.485789317556026,-63.514210682443974,124.76275843417928,-0.5090798847314039,-0.6351421068244397,110,82,82,77,0.6756986441710199
0.3,100.0,21.203662158095515,-78.79633784190449,161.6708908693606,-0.48738729290219884,-0.7879633784190448,110,82,82,77,0.8205879278242746
0.5,100.0,6.603397545225202,-93.3966024547748,208.51818629269255,-0.4479062671477295,-0.933966024547748,110,82,82,77,0.9485816943500341
0.75,100.0,1.2954710625683057,-98.70452893743169,241.52623418566677,-0.40867001164583766,-0.9870452893743169,110,82,82,77,0.9906937660241432
1.0,100.0,0.19922968116356748,-99.80077031883643,262.4062755222826,-0.3803292056190235,-0.9980077031883643,110,82,82,77,0.998652399428099
