scale,date,home_team,away_team,match_index,outcome,probability,decimal_odds,full_kelly_fraction,scaled_fraction,stake,won,profit,bankroll_before_match
0.05,2026-06-11,Mexico,South Africa,1,draw,0.2373199611902237,4.33,0.008286916502603197,0.0004143458251301599,0.04143458251301599,False,-0.04143458251301599,100.0
0.05,2026-06-11,Mexico,South Africa,1,away,0.1528087854385376,8.5,0.03984995683034261,0.001992497841517131,0.1992497841517131,False,-0.1992497841517131,100.0
0.05,2026-06-11,South Korea,Czech Republic,2,home,0.41847482323646545,2.55,0.04329728984063672,0.002164864492031836,0.21596540016400398,True,0.3347463702542061,99.75931563333528
0.05,2026-06-12,Canada,Bosnia and Herzegovina,3,home,0.6242932677268982,1.75,0.12335095802942912,0.006167547901471456,0.6173349220599922,False,-0.6173349220599922,100.09406200358949
0.05,2026-06-12,United States,Paraguay,4,away,0.33034729957580566,3.9,0.09943257529160071,0.004971628764580036,0.49456135776480986,False,-0.49456135776480986,99.47672708152949
0.05,2026-06-13,Australia,Turkey,5,home,0.37933671474456787,5.5,0.24141154024336073,0.012070577012168036,1.1947718541998809,True,5.376473343899464,98.98216572376468
0.05,2026-06-13,Brazil,Morocco,6,draw,0.29163044691085815,3.6,0.019180618799649735,0.0009590309399824869,0.10008316372035501,True,0.2602162256729231,104.35863906766414
0.05,2026-06-13,Brazil,Morocco,6,away,0.28049856424331665,5.5,0.12060935629738702,0.006030467814869351,0.6293314141011159,False,-0.6293314141011159,104.35863906766414
0.05,2026-06-13,Haiti,Scotland,7,home,0.2152220606803894,5.25,0.030568427899304557,0.001528421394965228,0.1589398131492717,False,-0.1589398131492717,103.98952387923595
0.05,2026-06-14,Germany,Curaçao,9,draw,0.07474882900714874,20.0,0.026051398954893414,0.0013025699477446709,0.13524659846126116,False,-0.13524659846126116,103.83058406608667
0.05,2026-06-14,Germany,Curaçao,9,away,0.03823022544384003,36.0,0.010751089027949742,0.0005375544513974871,0.055814592655925886,False,-0.055814592655925886,103.83058406608667
0.05,2026-06-14,Ivory Coast,Ecuador,10,away,0.4943024218082428,2.4,0.1330898659569876,0.006654493297849381,0.6896685103637921,False,-0.6896685103637921,103.63952287496949
0.05,2026-06-14,Netherlands,Japan,11,away,0.38650622963905334,3.75,0.16341758587143637,0.008170879293571819,0.841190833303991,False,-0.841190833303991,102.9498543646057
0.05,2026-06-14,Sweden,Tunisia,12,away,0.29885655641555786,4.5,0.0985298582485744,0.0049264929124287204,0.5030376071845268,False,-0.5030376071845268,102.1086635313017
0.05,2026-06-15,Belgium,Egypt,13,away,0.16413870453834534,6.5,0.012163923545317217,0.0006081961772658609,0.06179615327575313,False,-0.06179615327575313,101.60562592411718
0.05,2026-06-15,Iran,New Zealand,14,away,0.23917384445667267,4.5,0.021794942872864858,0.001089747143643243,0.11065709844737015,False,-0.11065709844737015,101.54382977084143
0.05,2026-06-15,Saudi Arabia,Uruguay,15,draw,0.24097314476966858,4.2,0.003777252510189996,0.0001888626255094998,0.019156935304666788,True,0.06130219297493372,101.43317267239405
0.05,2026-06-15,Saudi Arabia,Uruguay,15,home,0.1457139402627945,7.5,0.014285315687839802,0.0007142657843919901,0.07245024464221571,False,-0.07245024464221571,101.43317267239405
0.05,2026-06-15,Spain,Cape Verde,16,draw,0.08422309905290604,14.0,0.013778722056975732,0.0006889361028487866,0.06987329438523719,True,0.9083528270080835,101.42202462072677
0.05,2026-06-16,Austria,Jordan,18,draw,0.22398336231708527,4.75,0.017045592268308003,0.0008522796134154001,0.08721409453180745,False,-0.08721409453180745,102.33037744773486
0.05,2026-06-16,Austria,Jordan,18,away,0.19757865369319916,8.5,0.09058914085229237,0.004529457042614619,0.46350104880405485,False,-0.46350104880405485,102.33037744773486
0.05,2026-06-16,France,Senegal,19,draw,0.2706391513347626,4.33,0.05161186945330987,0.002580593472665494,0.2626519321928303,False,-0.2626519321928303,101.779662304399
0.05,2026-06-16,France,Senegal,19,away,0.2668939232826233,7.0,0.14470957716306052,0.007235478858153026,0.7364245947934335,False,-0.7364245947934335,101.779662304399
0.05,2026-06-16,Iraq,Norway,20,draw,0.19984084367752075,6.5,0.05435736070979725,0.002717868035489863,0.27390833268237436,False,-0.27390833268237436,100.78058577741274
0.05,2026-06-16,Iraq,Norway,20,home,0.12237480282783508,13.0,0.04923936973015467,0.0024619684865077335,0.24811862623577965,False,-0.24811862623577965,100.78058577741274
0.05,2026-06-17,England,Croatia,21,away,0.21437224745750427,5.5,0.03978830244806078,0.001989415122403039,0.19945589306384773,False,-0.19945589306384773,100.25855881849459
0.05,2026-06-17,Ghana,Panama,22,away,0.4496064782142639,3.2,0.19942760467529294,0.009971380233764648,0.9977273611188627,False,-0.9977273611188627,100.05910292543075
0.05,2026-06-17,Portugal,DR Congo,23,draw,0.1992872953414917,5.5,0.021351138750712078,0.001067556937535604,0.1057536587255011,True,0.475891464264755,99.06137556431189
0.05,2026-06-17,Portugal,DR Congo,23,away,0.11832594126462936,12.0,0.0381737541068684,0.00190868770534342,0.1890772296140092,False,-0.1890772296140092,99.06137556431189
0.05,2026-06-17,Uzbekistan,Colombia,24,draw,0.2109529674053192,5.5,0.03560918238427904,0.0017804591192139522,0.17688539050496155,False,-0.17688539050496155,99.34818979896264
0.05,2026-06-17,Uzbekistan,Colombia,24,home,0.12719941139221191,9.5,0.024516989203060374,0.0012258494601530188,0.12178592483223799,False,-0.12178592483223799,99.34818979896264
0.05,2026-06-18,Canada,Qatar,25,away,0.10234874486923218,12.0,0.02074408531188965,0.0010372042655944825,0.10273458307629584,False,-0.10273458307629584,99.04951848362543
0.05,2026-06-18,Czech Republic,South Africa,26,away,0.24043549597263336,4.33,0.012338047315766478,0.000616902365788324,0.06104050507539481,False,-0.06104050507539481,98.94678390054914
0.05,2026-06-18,Mexico,South Korea,27,away,0.28614598512649536,4.0,0.04819464683532715,0.0024097323417663578,0.23828817399968208,False,-0.23828817399968208,98.88574339547374
0.05,2026-06-18,Switzerland,Bosnia and Herzegovina,28,home,0.7239986062049866,1.53,0.20324125942194232,0.010162062971097117,1.0024616518991025,True,0.5313046755065244,98.64745522147406
0.05,2026-06-19,Brazil,Haiti,29,draw,0.11398879438638687,10.5,0.020724456953374965,0.0010362228476687482,0.10277129700870426,False,-0.10277129700870426,99.17875989698058
0.05,2026-06-19,Brazil,Haiti,29,away,0.06088723614811897,21.0,0.013931597955524922,0.0006965798977762462,0.06908593043061359,False,-0.06908593043061359,99.17875989698058
0.05,2026-06-19,Scotland,Morocco,30,home,0.20102235674858093,5.5,0.023471769359376695,0.0011735884679688348,0.11619335922228648,False,-0.11619335922228648,99.00690266954126
0.05,2026-06-19,Turkey,Paraguay,31,away,0.331490159034729,3.75,0.0883956714109941,0.004419783570549705,0.43707553228975454,True,1.201957713796825,98.89070931031898
0.05,2026-06-19,United States,Australia,32,draw,0.25712132453918457,4.33,0.03403463521161234,0.001701731760580617,0.17033087047615808,False,-0.17033087047615808,100.09266702411581
0.05,2026-06-19,United States,Australia,32,away,0.37762272357940674,5.75,0.24659592854349235,0.012329796427174619,1.234122208260322,False,-1.234122208260322,100.09266702411581
0.05,2026-06-20,Ecuador,Curaçao,33,draw,0.1512913852930069,8.0,0.030047297477722168,0.0015023648738861084,0.1482657060980951,True,1.0378599426866657,98.68821394537933
0.05,2026-06-20,Ecuador,Curaçao,33,away,0.07350501418113708,15.0,0.007326800908361163,0.00036634004541805814,0.036153444778977306,False,-0.036153444778977306,98.68821394537933
0.05,2026-06-20,Germany,Ivory Coast,34,away,0.17610138654708862,6.5,0.02630163864655928,0.001315081932327964,0.1311004132101789,False,-0.1311004132101789,99.68992044328702
0.05,2026-06-20,Netherlands,Sweden,35,home,0.6309012770652771,1.67,0.08000766074479522,0.004000383037239761,0.3982734148559256,True,0.2668431879534701,99.55882003007684
0.05,2026-06-20,Tunisia,Japan,36,home,0.1368456333875656,8.0,0.013537866728646415,0.0006768933364323208,0.06757132623722174,False,-0.06757132623722174,99.82566321803031
0.05,2026-06-21,Belgium,Iran,37,draw,0.24326111376285553,4.5,0.02705000340938568,0.001352500170469284,0.13492283628934065,True,0.4722299270126923,99.75809189179309
0.05,2026-06-21,Belgium,Iran,37,away,0.2520076632499695,8.5,0.15227535168329875,0.007613767584164938,0.7595349263038813,False,-0.7595349263038813,99.75809189179309
0.05,2026-06-21,New Zealand,Egypt,38,home,0.33400729298591614,5.5,0.18600891364945304,0.009300445682472652,0.9251226504865265,False,-0.9251226504865265,99.47078689250189
