scale,match_index,date,home_team,away_team,bankroll
0.0,0,,,,100.0
0.0,1,2026-06-11,Mexico,South Africa,100.0
0.0,2,2026-06-11,South Korea,Czech Republic,100.0
0.0,3,2026-06-12,Canada,Bosnia and Herzegovina,100.0
0.0,4,2026-06-12,United States,Paraguay,100.0
0.0,5,2026-06-13,Australia,Turkey,100.0
0.0,6,2026-06-13,Brazil,Morocco,100.0
0.0,7,2026-06-13,Haiti,Scotland,100.0
0.0,8,2026-06-13,Qatar,Switzerland,100.0
0.0,9,2026-06-14,Germany,Curaçao,100.0
0.0,10,2026-06-14,Ivory Coast,Ecuador,100.0
0.0,11,2026-06-14,Netherlands,Japan,100.0
0.0,12,2026-06-14,Sweden,Tunisia,100.0
0.0,13,2026-06-15,Belgium,Egypt,100.0
0.0,14,2026-06-15,Iran,New Zealand,100.0
0.0,15,2026-06-15,Saudi Arabia,Uruguay,100.0
0.0,16,2026-06-15,Spain,Cape Verde,100.0
0.0,17,2026-06-16,Argentina,Algeria,100.0
0.0,18,2026-06-16,Austria,Jordan,100.0
0.0,19,2026-06-16,France,Senegal,100.0
0.0,20,2026-06-16,Iraq,Norway,100.0
0.0,21,2026-06-17,England,Croatia,100.0
0.0,22,2026-06-17,Ghana,Panama,100.0
0.0,23,2026-06-17,Portugal,DR Congo,100.0
0.0,24,2026-06-17,Uzbekistan,Colombia,100.0
0.0,25,2026-06-18,Canada,Qatar,100.0
0.0,26,2026-06-18,Czech Republic,South Africa,100.0
0.0,27,2026-06-18,Mexico,South Korea,100.0
0.0,28,2026-06-18,Switzerland,Bosnia and Herzegovina,100.0
0.0,29,2026-06-19,Brazil,Haiti,100.0
0.0,30,2026-06-19,Scotland,Morocco,100.0
0.0,31,2026-06-19,Turkey,Paraguay,100.0
0.0,32,2026-06-19,United States,Australia,100.0
0.0,33,2026-06-20,Ecuador,Curaçao,100.0
0.0,34,2026-06-20,Germany,Ivory Coast,100.0
0.0,35,2026-06-20,Netherlands,Sweden,100.0
0.0,36,2026-06-20,Tunisia,Japan,100.0
0.0,37,2026-06-21,Belgium,Iran,100.0
0.0,38,2026-06-21,New Zealand,Egypt,100.0
0.0,39,2026-06-21,Spain,Saudi Arabia,100.0
0.0,40,2026-06-21,Uruguay,Cape Verde,100.0
0.0,41,2026-06-22,Argentina,Austria,100.0
0.0,42,2026-06-22,France,Iraq,100.0
0.0,43,2026-06-22,Jordan,Algeria,100.0
0.0,44,2026-06-22,Norway,Senegal,100.0
0.0,45,2026-06-23,Colombia,DR Congo,100.0
0.0,46,2026-06-23,England,Ghana,100.0
0.0,47,2026-06-23,Panama,Croatia,100.0
0.0,48,2026-06-23,Portugal,Uzbekistan,100.0
0.0,49,2026-06-24,Bosnia and Herzegovina,Qatar,100.0
0.0,50,2026-06-24,Canada,Switzerland,100.0
0.0,51,2026-06-24,Mexico,Czech Republic,100.0
0.0,52,2026-06-24,Morocco,Haiti,100.0
0.0,53,2026-06-24,Scotland,Brazil,100.0
