scale,starting_bankroll,final_bankroll,profit,total_staked,roi_on_staked,return_on_starting_bankroll,num_bets,completed_matches,matches_with_odds,matches_with_bets,max_drawdown
0.0,100.0,100.0,0.0,0.0,0.0,0.0,0,72,72,0,0.0
0.05,100.0,87.18236548746714,-12.817634512532862,36.057960062897315,-0.35547309082861517,-0.1281763451253286,97,72,72,69,0.16458889971783014
0.1,100.0,75.53341931379904,-24.466580686200956,69.57301711101852,-0.3516676680437671,-0.24466580686200956,97,72,72,69,0.3045409965595239
0.2,100.0,55.68773669772266,-44.31226330227734,128.95696154308246,-0.34362055969714617,-0.4431226330227733,97,72,72,69,0.5231787250740073
0.3,100.0,40.1254295537681,-59.8745704462319,178.5730175173097,-0.3352946110149482,-0.598745704462319,97,72,72,69,0.6778220962283698
0.5,100.0,19.506548161049015,-80.49345183895099,252.33142646865758,-0.3189989172789351,-0.8049345183895098,97,72,72,69,0.8594582043845839
0.75,100.0,7.021064046046954,-92.97893595395304,308.4513404755231,-0.3014379377006835,-0.9297893595395305,97,72,72,69,0.9544966727787432
1.0,100.0,2.207191754625925,-97.79280824537408,339.02720862590894,-0.2884512090983266,-0.9779280824537407,97,72,72,69,0.9868075188495087
