scale,starting_bankroll,final_bankroll,profit,total_staked,roi_on_staked,return_on_starting_bankroll,num_bets,completed_matches,matches_with_odds,matches_with_bets,max_drawdown
0.0,100.0,100.0,0.0,0.0,0.0,0.0,0,102,99,0,0.0
0.05,100.0,85.60767825478672,-14.39232174521328,47.4539018561385,-0.30329058691201216,-0.14392321745213277,141,102,99,97,0.20816129204497594
0.1,100.0,72.72044823144954,-27.279551768550462,88.57110444619232,-0.30799606642731864,-0.2727955176855046,141,102,99,97,0.3753482158001088
0.2,100.0,51.31766233749768,-48.68233766250232,154.8771647887712,-0.3143286986748343,-0.4868233766250232,141,102,99,97,0.6156824989554999
0.3,100.0,35.199263154177366,-64.80073684582263,204.50077846585774,-0.3168728125728936,-0.6480073684582264,141,102,99,97,0.7671614274830634
0.5,100.0,15.271753358892436,-84.72824664110756,270.43661677270165,-0.313301681008384,-0.8472824664110756,141,102,99,97,0.9184909919154285
0.75,100.0,4.647442200092556,-95.35255779990744,316.84144597191136,-0.3009472372132799,-0.9535255779990744,141,102,99,97,0.9803416002329538
1.0,100.0,1.2053460074941533,-98.79465399250584,342.1092783364842,-0.2887809838800559,-0.9879465399250584,141,102,99,97,0.9958075147096898
